t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
3.039998,9.638423,-1.433368,1.728559,-0.6443766,-2.931794,-2.971714
3.059998,9.672145,-1.447103,1.686182,-0.6866457,-2.908681,-2.977079
3.079998,9.705026,-1.461684,1.644148,-0.7289793,-2.882961,-2.98216
3.099998,9.737074,-1.477114,1.602493,-0.7713734,-2.854892,-2.986845
3.119998,9.768297,-1.493393,1.561251,-0.8138224,-2.824726,-2.991017
3.139998,9.798704,-1.510521,1.520452,-0.8563191,-2.792701,-2.994552
3.159998,9.828304,-1.528501,1.480122,-0.8988535,-2.759046,-2.997317
3.179998,9.857108,-1.547331,1.440285,-0.941416,-2.723976,-2.999174
3.199998,9.885125,-1.567013,1.40096,-0.9839919,-2.687695,-2.999979
3.219998,9.912367,-1.587547,1.362164,-1.026568,-2.650395,-2.999579
3.239998,9.938843,-1.608932,1.323913,-1.069126,-2.612259,-2.997819
3.259998,9.964565,-1.631167,1.286217,-1.111646,-2.573454,-2.994535
3.279998,9.989545,-1.654251,1.249086,-1.154108,-2.53414,-2.989559
3.299998,10.01379,-1.678183,1.212527,-1.196486,-2.494463,-2.982719
3.319998,10.03732,-1.70296,1.176546,-1.238754,-2.454562,-2.973837
3.339998,10.06014,-1.72858,1.141145,-1.280884,-2.414563,-2.962734
3.359998,10.08227,-1.755039,1.106326,-1.322842,-2.374583,-2.949226
3.379997,10.10371,-1.782333,1.072087,-1.364597,-2.334731,-2.933128
3.399997,10.12448,-1.810458,1.038428,-1.406108,-2.295107,-2.914255
3.419997,10.14458,-1.839407,1.005344,-1.447339,-2.255803,-2.892422
3.439997,10.16404,-1.869174,0.9728317,-1.488245,-2.216902,-2.867444
3.459997,10.18285,-1.899752,0.9408841,-1.528784,-2.178481,-2.839141
3.479997,10.20104,-1.931132,0.9094945,-1.568906,-2.140608,-2.807335
3.499997,10.21861,-1.963305,0.8786547,-1.608562,-2.103346,-2.771857
3.519997,10.23558,-1.996262,0.8483562,-1.6477,-2.066753,-2.73254
3.539997,10.25195,-2.029989,0.818589,-1.686265,-2.030881,-2.689232
3.559997,10.26773,-2.064475,0.7893429,-1.7242,-1.995775,-2.641787
3.579997,10.28295,-2.099706,0.7606066,-1.761447,-1.961475,-2.590073
3.599997,10.29759,-2.135667,0.7323685,-1.797944,-1.928021,-2.533974
3.619997,10.31168,-2.172341,0.7046163,-1.83363,-1.895445,-2.473387
3.639997,10.32523,-2.209712,0.6773374,-1.86844,-1.863775,-2.408228
3.659997,10.33824,-2.24776,0.6505188,-1.902308,-1.833036,-2.338435
3.679997,10.35072,-2.286465,0.6241469,-1.93517,-1.803252,-2.263964
3.699997,10.36268,-2.325806,0.5982081,-1.966959,-1.774442,-2.184794
3.719997,10.37413,-2.36576,0.5726883,-1.997608,-1.746623,-2.100932
3.739997,10.38508,-2.406303,0.5475731,-2.02705,-1.71981,-2.012407
3.759997,10.39554,-2.447409,0.5228482,-2.055218,-1.694014,-1.919275
3.779997,10.40551,-2.489051,0.4984988,-2.082049,-1.669248,-1.821623
3.799997,10.415,-2.531202,0.4745102,-2.107476,-1.64552,-1.719563
3.819997,10.42401,-2.573832,0.4508674,-2.131438,-1.622837,-1.613235
3.839997,10.43256,-2.616911,0.4275553,-2.153875,-1.601206,-1.502813
3.859997,10.44065,-2.660407,0.404559,-2.174727,-1.58063,-1.388493
3.879997,10.44829,-2.704286,0.3818632,-2.19394,-1.561113,-1.270502
3.899997,10.45548,-2.748517,0.3594526,-2.211462,-1.542659,-1.149095
3.919997,10.46222,-2.793062,0.337312,-2.227244,-1.525268,-1.024551
3.939997,10.46853,-2.837888,0.3154263,-2.241244,-1.508944,-0.8971721
3.959997,10.4744,-2.882957,0.2937799,-2.253419,-1.493685,-0.7672855
3.979997,10.47985,-2.928232,0.2723578,-2.263736,-1.479493,-0.6352353
3.999997,10.48487,-2.973676,0.2511444,-2.272162,-1.466368,-0.5013855
4.019997,10.48947,-3.01925,0.2301247,-2.278675,-1.454309,-0.3661126
